"season","team","conference","statName","statValue"
2022,"Appalachian State","Sun Belt","netPassingYards",3005
2022,"Syracuse","ACC","turnovers",13
2022,"Connecticut","FBS Independents","passCompletions",157
2022,"Oklahoma","Big 12","passCompletions",251
2022,"North Carolina","ACC","fumblesRecovered",6
2022,"Ball State","Mid-American","interceptions",14
2022,"Auburn","SEC","thirdDownConversions",64
2022,"Bowling Green","Mid-American","netPassingYards",3062
2022,"Georgia Southern","Sun Belt","fumblesLost",5
2022,"Virginia Tech","ACC","puntReturnYards",227
2022,"Georgia State","Sun Belt","puntReturnYards",58
2022,"Central Michigan","Mid-American","penaltyYards",753
2022,"Ohio","Mid-American","interceptionYards",163
2022,"Texas","Big 12","kickReturnTDs",0
2022,"Navy","American Athletic","interceptions",6
2022,"Charlotte","Conference USA","netPassingYards",3254
2022,"Western Kentucky","Conference USA","interceptionTDs",4
2022,"Florida International","Conference USA","turnovers",20
2022,"Stanford","Pac-12","fourthDownConversions",11
2022,"North Carolina","ACC","thirdDowns",201
2022,"Arkansas State","Sun Belt","fourthDowns",23
2022,"Mississippi State","SEC","kickReturnYards",807
2022,"LSU","SEC","kickReturnYards",337
2022,"SMU","American Athletic","firstDowns",331
2022,"Pittsburgh","ACC","puntReturnYards",290
2022,"North Carolina","ACC","fourthDowns",35
2022,"Kansas State","Big 12","puntReturnTDs",2
2022,"Oklahoma","Big 12","turnovers",15
2022,"South Alabama","Sun Belt","sacks",28
2022,"Appalachian State","Sun Belt","thirdDowns",156
2022,"Missouri","SEC","thirdDownConversions",77
2022,"Florida International","Conference USA","totalYards",3875
2022,"Florida International","Conference USA","fourthDowns",35
2022,"Rice","Conference USA","games",13
2022,"Maryland","Big Ten","passingTDs",21
2022,"Western Michigan","Mid-American","games",12
2022,"Toledo","Mid-American","puntReturns",31
2022,"Air Force","Mountain West","kickReturnYards",54
2022,"South Alabama","Sun Belt","passAttempts",447
2022,"Southern Mississippi","Sun Belt","passingTDs",20
2022,"Purdue","Big Ten","interceptions",17
2022,"North Carolina","ACC","totalYards",6478
2022,"UCF","American Athletic","totalYards",6569
2022,"Louisville","ACC","puntReturnTDs",0
2022,"Navy","American Athletic","games",12
2022,"Purdue","Big Ten","passesIntercepted",15
2022,"Texas Tech","Big 12","netPassingYards",3927
2022,"Wisconsin","Big Ten","interceptionTDs",2
2022,"Minnesota","Big Ten","interceptionYards",201
2022,"Houston","American Athletic","kickReturnTDs",1
2022,"New Mexico","Mountain West","sacks",25
2022,"Arizona State","Pac-12","fourthDownConversions",12
2022,"Texas State","Sun Belt","thirdDowns",185
2022,"Western Michigan","Mid-American","passCompletions",167
2022,"Appalachian State","Sun Belt","passAttempts",358
2022,"Tulane","American Athletic","interceptions",5
2022,"California","Pac-12","sacks",16
2022,"Western Michigan","Mid-American","passingTDs",10
2022,"Temple","American Athletic","kickReturns",42
2022,"Duke","ACC","fourthDowns",24
2022,"Ball State","Mid-American","totalYards",4631
2022,"Georgia State","Sun Belt","penaltyYards",764
2022,"Washington State","Pac-12","thirdDowns",175
2022,"South Florida","American Athletic","kickReturns",48
2022,"Indiana","Big Ten","passesIntercepted",7
2022,"Arkansas","SEC","interceptionYards",83
2022,"South Florida","American Athletic","passingTDs",18
2022,"Oklahoma State","Big 12","puntReturnYards",147
2022,"Ohio State","Big Ten","kickReturns",18
2022,"Louisville","ACC","rushingAttempts",519
2022,"Kansas","Big 12","kickReturns",24
2022,"Purdue","Big Ten","passingTDs",26
2022,"Boston College","ACC","passAttempts",440
2022,"USC","Pac-12","totalYards",7090
2022,"Michigan State","Big Ten","firstDowns",241
2022,"Temple","American Athletic","passAttempts",484
2022,"Hawai'i","Mountain West","totalYards",4456
2022,"Kansas","Big 12","fourthDownConversions",9
2022,"Notre Dame","FBS Independents","puntReturnYards",286
2022,"Appalachian State","Sun Belt","passCompletions",226
2022,"Georgia Southern","Sun Belt","rushingTDs",23
2022,"Pittsburgh","ACC","fourthDowns",20
2022,"Northern Illinois","Mid-American","interceptionYards",41
2022,"Houston","American Athletic","thirdDownConversions",80
2022,"Oklahoma State","Big 12","fumblesRecovered",6
2022,"TCU","Big 12","puntReturnYards",301
2022,"UNLV","Mountain West","fumblesLost",8
2022,"Texas State","Sun Belt","penaltyYards",531
2022,"South Carolina","SEC","puntReturns",19
2022,"Marshall","Sun Belt","rushingTDs",20
2022,"Virginia Tech","ACC","passingTDs",9
2022,"Florida Atlantic","Conference USA","rushingAttempts",492
2022,"Louisiana","Sun Belt","passAttempts",441
2022,"Northern Illinois","Mid-American","fumblesRecovered",14
2022,"Michigan State","Big Ten","fourthDowns",28
2022,"Boise State","Mountain West","puntReturnYards",187
2022,"Rutgers","Big Ten","rushingAttempts",432
2022,"Memphis","American Athletic","penaltyYards",480
2022,"New Mexico State","FBS Independents","penaltyYards",746
2022,"Clemson","ACC","penaltyYards",675
2022,"BYU","FBS Independents","passingTDs",32
2022,"Boston College","ACC","firstDowns",201
2022,"Old Dominion","Sun Belt","games",12
2022,"Boston College","ACC","rushingTDs",6
2022,"Texas State","Sun Belt","fourthDownConversions",7
2022,"Houston","American Athletic","fourthDowns",27
2022,"Ole Miss","SEC","kickReturnYards",447
2022,"Washington","Pac-12","totalYards",6700
2022,"Michigan","Big Ten","kickReturnTDs",0
2022,"UTEP","Conference USA","firstDowns",252
2022,"James Madison","Sun Belt","interceptions",10
2022,"Troy","Sun Belt","kickReturnTDs",0
2022,"Miami","ACC","thirdDowns",166
2022,"South Alabama","Sun Belt","kickReturnTDs",0
2022,"UAB","Conference USA","firstDowns",276
2022,"Alabama","SEC","passAttempts",438
2022,"Ball State","Mid-American","interceptionYards",44
2022,"Oklahoma State","Big 12","rushingAttempts",476
2022,"South Carolina","SEC","interceptionYards",299
2022,"Texas A&M","SEC","interceptions",6
2022,"Missouri","SEC","passesIntercepted",11
2022,"Virginia Tech","ACC","kickReturnTDs",0
2022,"North Texas","Conference USA","kickReturnYards",878
2022,"Fresno State","Mountain West","totalYards",5636
2022,"Michigan State","Big Ten","kickReturns",24
2022,"Texas A&M","SEC","kickReturnTDs",1
2022,"Utah State","Mountain West","rushingTDs",14
2022,"Central Michigan","Mid-American","thirdDownConversions",60
2022,"UCLA","Pac-12","interceptions",12
2022,"Hawai'i","Mountain West","thirdDowns",194
2022,"Purdue","Big Ten","fumblesLost",6
2022,"Hawai'i","Mountain West","rushingTDs",16
2022,"Notre Dame","FBS Independents","games",13
2022,"Ball State","Mid-American","thirdDowns",185
2022,"Nebraska","Big Ten","possessionTime",19301
2022,"Pittsburgh","ACC","fumblesRecovered",14
2022,"Oregon","Pac-12","interceptionTDs",1
2022,"BYU","FBS Independents","rushingTDs",19
2022,"SMU","American Athletic","thirdDownConversions",97
2022,"New Mexico","Mountain West","puntReturns",18
2022,"Louisiana Monroe","Sun Belt","interceptionYards",53
2022,"Marshall","Sun Belt","possessionTime",24818
2022,"Akron","Mid-American","kickReturnYards",866
2022,"Oklahoma","Big 12","rushingAttempts",580
2022,"Cincinnati","American Athletic","interceptionYards",104
2022,"Iowa State","Big 12","sacks",18
2022,"Buffalo","Mid-American","passCompletions",250
2022,"Fresno State","Mountain West","fumblesLost",5
2022,"Utah","Pac-12","fumblesRecovered",20
2022,"Louisiana Tech","Conference USA","fumblesLost",6
2022,"Louisiana Tech","Conference USA","netPassingYards",3207
2022,"Ball State","Mid-American","kickReturnTDs",0
2022,"Army","FBS Independents","possessionTime",22773
2022,"East Carolina","American Athletic","interceptionTDs",1
2022,"Clemson","ACC","passAttempts",478
2022,"San José State","Mountain West","passCompletions",260
2022,"Texas Tech","Big 12","turnovers",25
2022,"UAB","Conference USA","passesIntercepted",10
2022,"Texas Tech","Big 12","fumblesLost",7
2022,"UMass","FBS Independents","puntReturnTDs",0
2022,"Utah","Pac-12","fumblesLost",8
2022,"Bowling Green","Mid-American","penaltyYards",896
2022,"Cincinnati","American Athletic","totalYards",4841
2022,"Florida Atlantic","Conference USA","kickReturns",15
2022,"Michigan","Big Ten","interceptionYards",168
2022,"Pittsburgh","ACC","kickReturns",29
2022,"Buffalo","Mid-American","puntReturns",10
2022,"Texas State","Sun Belt","games",12
2022,"Wisconsin","Big Ten","passAttempts",326
2022,"Ohio State","Big Ten","interceptionYards",109
2022,"Temple","American Athletic","passesIntercepted",6
2022,"Charlotte","Conference USA","kickReturnTDs",0
2022,"Georgia","SEC","interceptionYards",122
2022,"Virginia Tech","ACC","rushingYards",1230
2022,"Syracuse","ACC","passingTDs",19
2022,"Southern Mississippi","Sun Belt","interceptions",14
2022,"Michigan","Big Ten","penalties",58
2022,"Hawai'i","Mountain West","fumblesRecovered",2
2022,"Wake Forest","ACC","fumblesLost",6
2022,"Ohio State","Big Ten","totalYards",6379
2022,"Kansas","Big 12","interceptions",8
2022,"Boise State","Mountain West","puntReturns",28
2022,"Arizona State","Pac-12","fourthDowns",19
2022,"Arkansas","SEC","fumblesLost",11
2022,"Kent State","Mid-American","rushingTDs",23
2022,"LSU","SEC","penaltyYards",730
2022,"South Carolina","SEC","kickReturnYards",578
2022,"Baylor","Big 12","games",13
2022,"Virginia","ACC","rushingYards",1230
2022,"Illinois","Big Ten","firstDowns",275
2022,"Colorado","Pac-12","passAttempts",360
2022,"Coastal Carolina","Sun Belt","penaltyYards",739
2022,"Iowa State","Big 12","penaltyYards",548
2022,"Appalachian State","Sun Belt","puntReturns",16
2022,"San Diego State","Mountain West","fumblesLost",10
2022,"Ohio State","Big Ten","thirdDowns",166
2022,"Penn State","Big Ten","interceptions",7
2022,"Ball State","Mid-American","sacks",25
2022,"Louisiana Tech","Conference USA","fourthDowns",29
2022,"Georgia Tech","ACC","fourthDownConversions",8
2022,"Michigan State","Big Ten","penalties",69
2022,"Maryland","Big Ten","penaltyYards",924
2022,"Cincinnati","American Athletic","fourthDowns",20
2022,"Alabama","SEC","puntReturnYards",456
2022,"Georgia Tech","ACC","fumblesRecovered",17
2022,"Iowa","Big Ten","games",13
2022,"Ole Miss","SEC","rushingYards",3335
2022,"Central Michigan","Mid-American","possessionTime",20720
2022,"UCF","American Athletic","thirdDowns",209
2022,"West Virginia","Big 12","passCompletions",255
2022,"Utah State","Mountain West","thirdDownConversions",66
2022,"Oklahoma State","Big 12","passCompletions",292
2022,"Eastern Michigan","Mid-American","passesIntercepted",13
2022,"Ball State","Mid-American","rushingAttempts",417
2022,"Wake Forest","ACC","kickReturnYards",339
2022,"Boston College","ACC","kickReturns",30
2022,"Wake Forest","ACC","interceptionYards",88
2022,"UNLV","Mountain West","rushingYards",1647
2022,"UCF","American Athletic","turnovers",21
2022,"Northwestern","Big Ten","thirdDownConversions",72
2022,"Bowling Green","Mid-American","thirdDownConversions",64
2022,"Georgia","SEC","thirdDowns",182
2022,"Minnesota","Big Ten","fourthDownConversions",6
2022,"Iowa State","Big 12","kickReturns",21
2022,"Navy","American Athletic","turnovers",15
2022,"TCU","Big 12","tacklesForLoss",71
2022,"Middle Tennessee","Conference USA","passCompletions",341
2022,"Ole Miss","SEC","passCompletions",239
2022,"Stanford","Pac-12","passCompletions",275
2022,"South Florida","American Athletic","penaltyYards",443
2022,"Tulsa","American Athletic","kickReturnYards",303
2022,"Connecticut","FBS Independents","sacks",24
2022,"Michigan","Big Ten","passAttempts",370
2022,"Nebraska","Big Ten","fourthDownConversions",3
2022,"Texas A&M","SEC","kickReturnYards",510
2022,"Utah State","Mountain West","penaltyYards",1007
2022,"Arkansas State","Sun Belt","games",12
2022,"Southern Mississippi","Sun Belt","fumblesLost",12
2022,"Air Force","Mountain West","kickReturnTDs",0
2022,"San Diego State","Mountain West","rushingYards",1862
2022,"Kansas State","Big 12","games",14
2022,"Florida","SEC","passCompletions",199
2022,"Northern Illinois","Mid-American","thirdDowns",171
2022,"Wyoming","Mountain West","penaltyYards",488
2022,"Tulsa","American Athletic","fumblesRecovered",14
2022,"Minnesota","Big Ten","rushingTDs",33
2022,"Central Michigan","Mid-American","turnovers",28
2022,"NC State","ACC","interceptionTDs",1
2022,"Virginia Tech","ACC","fumblesRecovered",10
2022,"Marshall","Sun Belt","interceptionYards",162
2022,"UMass","FBS Independents","puntReturns",11
2022,"Wyoming","Mountain West","kickReturnYards",309
2022,"New Mexico State","FBS Independents","penalties",85
2022,"UCF","American Athletic","rushingYards",3192
2022,"UTEP","Conference USA","kickReturns",21
2022,"Kansas","Big 12","games",13
2022,"Appalachian State","Sun Belt","passingTDs",28
2022,"Rutgers","Big Ten","possessionTime",21019
2022,"Eastern Michigan","Mid-American","tacklesForLoss",56
2022,"Georgia","SEC","fumblesLost",10
2022,"Cincinnati","American Athletic","puntReturnYards",159
2022,"Iowa State","Big 12","rushingYards",1286
2022,"Penn State","Big Ten","passAttempts",422
2022,"Kent State","Mid-American","penaltyYards",652
2022,"Boise State","Mountain West","interceptionYards",186
2022,"Appalachian State","Sun Belt","sacks",29
2022,"Connecticut","FBS Independents","totalYards",3938
2022,"San José State","Mountain West","penalties",69
2022,"Toledo","Mid-American","interceptionYards",87
2022,"Colorado","Pac-12","passesIntercepted",6
2022,"Memphis","American Athletic","fumblesRecovered",11
2022,"Nebraska","Big Ten","turnovers",19
2022,"Utah State","Mountain West","firstDowns",257
2022,"Louisiana Tech","Conference USA","rushingYards",1505
2022,"Toledo","Mid-American","kickReturns",22
2022,"Nebraska","Big Ten","puntReturns",6
2022,"Fresno State","Mountain West","passesIntercepted",12
2022,"Virginia","ACC","fourthDowns",18
2022,"Indiana","Big Ten","rushingAttempts",396
2022,"UT San Antonio","Conference USA","netPassingYards",4206
2022,"East Carolina","American Athletic","netPassingYards",3776
2022,"Tulane","American Athletic","puntReturnTDs",1
2022,"Boston College","ACC","interceptions",14
2022,"Florida State","ACC","rushingTDs",33
2022,"Oklahoma","Big 12","fumblesRecovered",8
2022,"South Alabama","Sun Belt","rushingTDs",19
2022,"Wake Forest","ACC","kickReturns",17
2022,"Tennessee","SEC","interceptions",3
2022,"Tulsa","American Athletic","rushingYards",1664
2022,"Washington State","Pac-12","interceptionTDs",2
2022,"Wyoming","Mountain West","fourthDowns",7
2022,"SMU","American Athletic","interceptions",11
2022,"Louisville","ACC","puntReturns",28
2022,"Georgia State","Sun Belt","rushingTDs",26
2022,"North Carolina","ACC","passCompletions",344
2022,"Wisconsin","Big Ten","sacks",32
2022,"Michigan","Big Ten","passCompletions",238
2022,"Texas","Big 12","sacks",27
2022,"Auburn","SEC","kickReturnYards",396
2022,"Bowling Green","Mid-American","interceptionTDs",1
2022,"LSU","SEC","interceptionYards",197
2022,"San José State","Mountain West","kickReturnTDs",0
2022,"Arizona State","Pac-12","penalties",87
2022,"Ohio State","Big Ten","netPassingYards",3878
2022,"Texas","Big 12","games",13
2022,"Memphis","American Athletic","kickReturnYards",673
2022,"Utah State","Mountain West","totalYards",4608
2022,"Utah State","Mountain West","turnovers",27
2022,"Wyoming","Mountain West","interceptions",12
2022,"Ball State","Mid-American","tacklesForLoss",65
2022,"Wake Forest","ACC","fumblesRecovered",12
2022,"Maryland","Big Ten","tacklesForLoss",62
2022,"South Carolina","SEC","interceptionTDs",2
2022,"Utah","Pac-12","thirdDowns",180
2022,"Texas Tech","Big 12","passesIntercepted",9
2022,"Western Kentucky","Conference USA","netPassingYards",4932
2022,"San José State","Mountain West","puntReturns",6
2022,"Miami","ACC","passAttempts",413
2022,"Mississippi State","SEC","puntReturnYards",213
2022,"Texas A&M","SEC","totalYards",4340
2022,"Louisville","ACC","puntReturnYards",141
2022,"Missouri","SEC","possessionTime",24245
2022,"Arkansas","SEC","rushingAttempts",606
2022,"Middle Tennessee","Conference USA","games",13
2022,"Virginia","ACC","puntReturns",12
2022,"Washington","Pac-12","puntReturnYards",121
2022,"Kansas State","Big 12","puntReturns",16
2022,"Florida International","Conference USA","interceptionTDs",1
2022,"Boston College","ACC","fourthDowns",18
2022,"Arkansas","SEC","totalYards",6126
2022,"Indiana","Big Ten","passCompletions",260
2022,"West Virginia","Big 12","passesIntercepted",4
2022,"Texas Tech","Big 12","rushingAttempts",525
2022,"Georgia State","Sun Belt","penalties",84
2022,"California","Pac-12","netPassingYards",3217
2022,"Penn State","Big Ten","turnovers",14
2022,"Tulane","American Athletic","firstDowns",302
2022,"Indiana","Big Ten","thirdDowns",192
2022,"UTEP","Conference USA","turnovers",21
2022,"New Mexico","Mountain West","passAttempts",256
2022,"Syracuse","ACC","fourthDownConversions",5
2022,"Memphis","American Athletic","games",13
2022,"SMU","American Athletic","thirdDowns",203
2022,"Cincinnati","American Athletic","puntReturns",14
2022,"Florida International","Conference USA","firstDowns",216
2022,"Louisiana Tech","Conference USA","interceptions",19
2022,"Arkansas","SEC","netPassingYards",3041
2022,"West Virginia","Big 12","kickReturnTDs",0
2022,"Mississippi State","SEC","thirdDownConversions",69
2022,"Nevada","Mountain West","tacklesForLoss",75
2022,"Army","FBS Independents","kickReturns",13
2022,"Florida State","ACC","interceptionYards",10
2022,"Bowling Green","Mid-American","passCompletions",267
2022,"Texas A&M","SEC","fumblesRecovered",19
2022,"Boston College","ACC","passCompletions",262
2022,"San Diego State","Mountain West","rushingTDs",11
2022,"Nevada","Mountain West","puntReturns",15
2022,"Navy","American Athletic","totalYards",3924
2022,"James Madison","Sun Belt","penalties",56
2022,"Auburn","SEC","puntReturnTDs",0
2022,"Oklahoma","Big 12","tacklesForLoss",101
2022,"Southern Mississippi","Sun Belt","rushingTDs",15
2022,"Indiana","Big Ten","penaltyYards",547
2022,"Coastal Carolina","Sun Belt","puntReturns",11
2022,"Marshall","Sun Belt","passCompletions",225
2022,"Texas","Big 12","penaltyYards",615
2022,"UT San Antonio","Conference USA","turnovers",19
2022,"Bowling Green","Mid-American","fourthDownConversions",11
2022,"Iowa","Big Ten","interceptionYards",206
2022,"Eastern Michigan","Mid-American","kickReturns",41
2022,"Pittsburgh","ACC","passingTDs",13
2022,"Temple","American Athletic","passCompletions",288
2022,"Miami (OH)","Mid-American","rushingYards",1831
2022,"Stanford","Pac-12","tacklesForLoss",65
2022,"Marshall","Sun Belt","games",13
2022,"Louisiana","Sun Belt","puntReturnYards",442
2022,"Eastern Michigan","Mid-American","netPassingYards",2914
2022,"UTEP","Conference USA","rushingTDs",14
2022,"Oregon","Pac-12","sacks",17
2022,"Arizona","Pac-12","thirdDowns",147
2022,"Central Michigan","Mid-American","kickReturnTDs",0
2022,"Arkansas State","Sun Belt","rushingYards",1058
2022,"Louisiana Tech","Conference USA","turnovers",25
2022,"Ohio","Mid-American","puntReturnTDs",0
2022,"Fresno State","Mountain West","interceptionTDs",1
2022,"Kansas","Big 12","netPassingYards",3307
2022,"Oklahoma State","Big 12","puntReturns",16
2022,"Akron","Mid-American","turnovers",22
2022,"Penn State","Big Ten","penaltyYards",628
2022,"Purdue","Big Ten","passAttempts",581
2022,"Arizona","Pac-12","kickReturnYards",354
2022,"Colorado State","Mountain West","possessionTime",21218
2022,"Eastern Michigan","Mid-American","turnovers",19
2022,"Baylor","Big 12","passesIntercepted",13
2022,"Pittsburgh","ACC","interceptions",11
2022,"Western Kentucky","Conference USA","penaltyYards",805
2022,"UMass","FBS Independents","possessionTime",22985
2022,"Coastal Carolina","Sun Belt","passCompletions",237
2022,"West Virginia","Big 12","fumblesLost",6
2022,"Arkansas","SEC","fumblesRecovered",13
2022,"Alabama","SEC","fumblesLost",8
2022,"Boston College","ACC","kickReturnYards",623
2022,"Central Michigan","Mid-American","totalYards",4407
2022,"Washington State","Pac-12","passCompletions",322
2022,"Iowa","Big Ten","fourthDowns",15
2022,"Georgia Southern","Sun Belt","rushingYards",1783
2022,"Hawai'i","Mountain West","possessionTime",22048
2022,"Georgia State","Sun Belt","netPassingYards",2431
2022,"NC State","ACC","totalYards",4418
2022,"Colorado","Pac-12","fourthDowns",30
2022,"Louisiana Monroe","Sun Belt","thirdDownConversions",67
2022,"Rutgers","Big Ten","interceptionTDs",2
2022,"Hawai'i","Mountain West","passAttempts",490
2022,"Georgia State","Sun Belt","rushingAttempts",578
2022,"Florida International","Conference USA","puntReturnTDs",0
2022,"Wisconsin","Big Ten","firstDowns",233
2022,"Pittsburgh","ACC","rushingYards",2380
2022,"North Texas","Conference USA","penalties",73
2022,"Buffalo","Mid-American","rushingYards",1820
2022,"Louisiana Monroe","Sun Belt","puntReturns",8
2022,"Coastal Carolina","Sun Belt","fumblesRecovered",19
2022,"Kentucky","SEC","kickReturns",27
2022,"Wisconsin","Big Ten","fourthDownConversions",7
2022,"Rice","Conference USA","possessionTime",25597
2022,"BYU","FBS Independents","interceptionYards",150
2022,"Arkansas","SEC","puntReturnYards",162
2022,"USC","Pac-12","rushingYards",2396
2022,"Hawai'i","Mountain West","penalties",73
2022,"Western Michigan","Mid-American","thirdDowns",185
2022,"Tulane","American Athletic","kickReturns",33
2022,"Buffalo","Mid-American","puntReturnTDs",0
2022,"Iowa","Big Ten","penalties",53
2022,"Alabama","SEC","interceptionYards",74
2022,"Texas State","Sun Belt","interceptionYards",188
2022,"Stanford","Pac-12","fumblesRecovered",6
2022,"Michigan State","Big Ten","kickReturnYards",424
2022,"Boston College","ACC","puntReturnYards",85
2022,"Syracuse","ACC","penaltyYards",823
2022,"Marshall","Sun Belt","firstDowns",270
2022,"Arkansas","SEC","passCompletions",230
2022,"Utah","Pac-12","rushingYards",3048
2022,"Syracuse","ACC","kickReturnTDs",0
2022,"Cincinnati","American Athletic","fumblesRecovered",13
2022,"Tulsa","American Athletic","penaltyYards",680
2022,"Maryland","Big Ten","fumblesLost",7
2022,"Northern Illinois","Mid-American","interceptions",14
2022,"West Virginia","Big 12","thirdDownConversions",73
2022,"Fresno State","Mountain West","fourthDowns",14
2022,"Clemson","ACC","passingTDs",24
2022,"Old Dominion","Sun Belt","interceptionTDs",1
2022,"Marshall","Sun Belt","turnovers",19
2022,"Texas","Big 12","puntReturns",21
2022,"Bowling Green","Mid-American","fourthDowns",25
2022,"Florida","SEC","fourthDownConversions",15
2022,"California","Pac-12","penaltyYards",535
2022,"Georgia Tech","ACC","firstDowns",212
2022,"Fresno State","Mountain West","games",14
2022,"Louisiana Monroe","Sun Belt","interceptions",7
2022,"Oregon State","Pac-12","games",13
2022,"Florida Atlantic","Conference USA","passAttempts",378
2022,"Miami","ACC","puntReturnYards",125
2022,"Hawai'i","Mountain West","sacks",18
2022,"Old Dominion","Sun Belt","fumblesRecovered",11
2022,"Central Michigan","Mid-American","penalties",83
2022,"Wake Forest","ACC","games",13
2022,"Nevada","Mountain West","interceptionYards",50
2022,"Syracuse","ACC","passCompletions",228
2022,"Louisiana Monroe","Sun Belt","passCompletions",221
2022,"Michigan State","Big Ten","possessionTime",18864
2022,"Kentucky","SEC","turnovers",19
2022,"Tulane","American Athletic","penalties",56
2022,"Oregon State","Pac-12","fourthDownConversions",16
2022,"Washington","Pac-12","fourthDownConversions",16
2022,"Washington State","Pac-12","thirdDownConversions",64
2022,"Army","FBS Independents","tacklesForLoss",45
2022,"Army","FBS Independents","puntReturns",15
2022,"Connecticut","FBS Independents","penalties",92
2022,"Maryland","Big Ten","passCompletions",294
2022,"UCLA","Pac-12","passingTDs",29
2022,"Florida State","ACC","thirdDownConversions",86
2022,"Texas","Big 12","turnovers",14
2022,"Vanderbilt","SEC","kickReturnTDs",0
2022,"UCF","American Athletic","possessionTime",25924
2022,"Syracuse","ACC","passesIntercepted",10
2022,"Syracuse","ACC","kickReturns",20
2022,"TCU","Big 12","fumblesLost",8
2022,"Virginia Tech","ACC","rushingTDs",15
2022,"Washington State","Pac-12","kickReturns",28
2022,"Baylor","Big 12","turnovers",18
2022,"Utah","Pac-12","passesIntercepted",12
2022,"Penn State","Big Ten","possessionTime",23838
2022,"Oklahoma","Big 12","puntReturnTDs",0
2022,"Temple","American Athletic","interceptions",12
2022,"Florida Atlantic","Conference USA","interceptionYards",356
2022,"Nevada","Mountain West","passingTDs",7
2022,"Duke","ACC","fourthDownConversions",14
2022,"Colorado State","Mountain West","fumblesLost",8
2022,"South Florida","American Athletic","interceptionTDs",0
2022,"Navy","American Athletic","rushingYards",2894
2022,"Illinois","Big Ten","tacklesForLoss",79
2022,"Hawai'i","Mountain West","netPassingYards",2672
2022,"Boston College","ACC","passesIntercepted",7
2022,"USC","Pac-12","possessionTime",26804
2022,"Virginia Tech","ACC","firstDowns",193
2022,"UAB","Conference USA","fumblesRecovered",9
2022,"NC State","ACC","firstDowns",265
2022,"Auburn","SEC","possessionTime",21757
2022,"James Madison","Sun Belt","thirdDowns",151
2022,"Fresno State","Mountain West","penaltyYards",575
2022,"Illinois","Big Ten","rushingYards",2180
2022,"Troy","Sun Belt","fumblesLost",6
2022,"UTEP","Conference USA","rushingAttempts",463
2022,"Stanford","Pac-12","passingTDs",15
2022,"Nevada","Mountain West","thirdDowns",195
2022,"Auburn","SEC","interceptionYards",60
2022,"Arkansas State","Sun Belt","rushingTDs",16
2022,"Ole Miss","SEC","penalties",88
2022,"TCU","Big 12","interceptions",8
2022,"Tulane","American Athletic","rushingYards",2868
2022,"Houston","American Athletic","fumblesRecovered",9
2022,"Iowa State","Big 12","thirdDownConversions",80
2022,"SMU","American Athletic","penaltyYards",542
2022,"Purdue","Big Ten","thirdDowns",208
2022,"Old Dominion","Sun Belt","thirdDowns",158
2022,"Northwestern","Big Ten","penaltyYards",490
2022,"Oregon State","Pac-12","puntReturnTDs",2
2022,"Mississippi State","SEC","penaltyYards",790
2022,"USC","Pac-12","kickReturns",36
2022,"West Virginia","Big 12","tacklesForLoss",68
2022,"Tulsa","American Athletic","puntReturnTDs",0
2022,"Toledo","Mid-American","passAttempts",439
2022,"Rice","Conference USA","rushingYards",1838
2022,"New Mexico State","FBS Independents","thirdDownConversions",64
2022,"West Virginia","Big 12","kickReturns",25
2022,"Louisville","ACC","interceptionTDs",2
2022,"UTEP","Conference USA","sacks",27
2022,"Boise State","Mountain West","rushingAttempts",549
2022,"Florida","SEC","kickReturns",27
2022,"Arizona State","Pac-12","rushingYards",1623
2022,"UMass","FBS Independents","penaltyYards",794
2022,"Arkansas","SEC","interceptions",7
2022,"UMass","FBS Independents","rushingTDs",10
2022,"Stanford","Pac-12","sacks",21
2022,"Texas A&M","SEC","netPassingYards",2633
2022,"Louisiana Monroe","Sun Belt","tacklesForLoss",69
2022,"Vanderbilt","SEC","penaltyYards",553
2022,"Fresno State","Mountain West","rushingAttempts",465
2022,"Western Michigan","Mid-American","rushingTDs",14
2022,"BYU","FBS Independents","rushingAttempts",438
2022,"Western Michigan","Mid-American","totalYards",3623
2022,"Rice","Conference USA","fourthDowns",27
2022,"Baylor","Big 12","rushingAttempts",535
2022,"Bowling Green","Mid-American","passesIntercepted",10
2022,"Ole Miss","SEC","passesIntercepted",8
2022,"Michigan","Big Ten","thirdDownConversions",84
2022,"Ole Miss","SEC","thirdDowns",187
2022,"Miami","ACC","passingTDs",18
2022,"NC State","ACC","rushingAttempts",442
2022,"Eastern Michigan","Mid-American","puntReturnYards",52
2022,"Colorado","Pac-12","puntReturns",11
2022,"Charlotte","Conference USA","penalties",80
2022,"Ole Miss","SEC","kickReturnTDs",0
2022,"South Florida","American Athletic","puntReturnYards",100
2022,"Boise State","Mountain West","firstDowns",273
2022,"New Mexico State","FBS Independents","firstDowns",216
2022,"Louisiana Tech","Conference USA","interceptionYards",135
2022,"Northwestern","Big Ten","interceptions",17
2022,"Houston","American Athletic","fumblesLost",9
2022,"South Florida","American Athletic","rushingTDs",25
2022,"Rutgers","Big Ten","turnovers",20
2022,"Arkansas","SEC","passAttempts",356
2022,"Notre Dame","FBS Independents","possessionTime",25092
2022,"Arizona State","Pac-12","passCompletions",270
2022,"Oregon State","Pac-12","possessionTime",24925
2022,"Wyoming","Mountain West","kickReturns",15
2022,"Cincinnati","American Athletic","turnovers",14
2022,"Illinois","Big Ten","thirdDownConversions",71
